Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'Термонаклейка Сова в цветах;1375852834;1849777716;OZN1849777716;Термонаклейка для одежды: Сова в цветах;'47.5;Amazing pics;Продается;12;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;14;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Чёрный волк красный луна;1375852835;1849777650;OZN1849777650;Термонаклейка для одежды: Чёрный волк красный луна;'47.5;Amazing pics;Продается;37;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;33;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Кошка розово-фиолетовая крупный план;1375852836;1849778040;OZN1849778040;Термонаклейка для одежды: Кошка розово-фиолетовая крупный план;'47.5;Amazing pics;Продается;41;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;59;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Карточная королева кричит;1375852837;1849777940;OZN1849777940;Термонаклейка для одежды: Карточная королева кричит;'47.5;Amazing pics;Продается;7;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;22;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Тигр спит среди тропических цветов;1375852838;1849778044;OZN1849778044;Термонаклейка для одежды: Тигр спит среди тропических цветов;'47.5;Amazing pics;Продается;7;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;18;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка-кошка с чёрным котом поцелуй;1375852839;1849777586;OZN1849777586;Термонаклейка для одежды: Девушка-кошка с чёрным котом поцелуй;'47.5;Amazing pics;Продается;8;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;11;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Ловец снов акварель;1375852840;1849778023;OZN1849778023;Термонаклейка для одежды: Ловец снов акварель;'47.5;Amazing pics;Продается;101;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.07;'0.1;90;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Лошадь в космических красках;1375852841;1849777600;OZN1849777600;Термонаклейка для одежды: Лошадь в космических красках;'47.5;Amazing pics;Продается;26;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.07;'0.1;7;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Кит в золотом дизайне космос;1375852842;1849777647;OZN1849777647;Термонаклейка для одежды: Кит в золотом дизайне космос;'47.5;Amazing pics;Продается;45;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;38;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Тигр в витражном стиле;1375852843;1849777720;OZN1849777720;Термонаклейка для одежды: Тигр в витражном стиле;'47.5;Amazing pics;Продается;7;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;32;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка с галактической магией;1375852844;1849777551;OZN1849777551;Термонаклейка для одежды: Девушка с галактической магией;'47.5;Amazing pics;Продается;26;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;27;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Лошадь в золотых и мраморных тонах;1375852845;1849778151;OZN1849778151;Термонаклейка для одежды: Лошадь в золотых и мраморных тонах;'47.5;Amazing pics;Продается;25;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;3;2;0;0;0;298.00;524.00;;0%
'Термонаклейка Золотой лев в изысканном узоре;1375852846;1849777651;OZN1849777651;Термонаклейка для одежды: Золотой лев в изысканном узоре;'47.5;Amazing pics;Продается;17;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;42;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Белый волк с цветами и узорами;1375852847;1849777656;OZN1849777656;Термонаклейка для одежды: Белый волк с цветами и узорами;'47.5;Amazing pics;Продается;56;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;37;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Королева с бокалом игральная карта;1375852848;1849777833;OZN1849777833;Термонаклейка для одежды: Королева с бокалом игральная карта;'47.5;Amazing pics;Продается;15;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.07;'0.1;32;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Пара леопардов в ночной листве;1375852849;1849777906;OZN1849777906;Термонаклейка для одежды: Пара леопардов в ночной листве;'47.5;Amazing pics;Продается;39;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;44;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Аниме девочка с мыльными пузырями;1375852851;1849777862;OZN1849777862;Термонаклейка для одежды: Аниме девочка с мыльными пузырями;'47.5;Amazing pics;Продается;18;'5.00;Показывается;;28.01.2025 5:14;Материал для рукоделия;Термонаклейка;'0.06;'0.1;17;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Животные с радугой;1456245194;1912188679;OZN1912188679;Термонаклейка для одежды: Животные с радугой;'47.5;Amazing pics;Продается;1;'5.00;Показывается;;03.03.2025 13:44;Материал для рукоделия;Термонаклейка;'0.04;'0.1;24;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Радужный мишка с улыбкой;1456260722;1912201998;OZN1912201998;Термонаклейка для одежды: Радужный мишка с улыбкой;'47.5;Amazing pics;Продается;8;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;36;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Радужный котенок счастливый;1456260723;1912202740;OZN1912202740;Термонаклейка для одежды: Радужный котенок счастливый;'47.5;Amazing pics;Продается;6;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;27;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Лисёнок с розовыми щёчками;1456260724;1912202107;OZN1912202107;Термонаклейка для одежды: Лисёнок с розовыми щёчками;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;17;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Оленёнок в шарфе;1456260725;1912202149;OZN1912202149;Термонаклейка для одежды: Оленёнок в шарфе;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;17;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Ёжики в кружках с сердечками;1456260726;1912201742;OZN1912201742;Термонаклейка для одежды: Ёжики в кружках с сердечками;'22.5;Amazing pics;Продается;3;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;10;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка Ангел с хвостами;1456260727;1912202033;OZN1912202033;Термонаклейка для одежды: Девочка Ангел с хвостами;'47.5;Amazing pics;Продается;103;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;81;0;0;0;0;298.00;524.00;;0%
'Термонаклейка львенок выглядывает игриво;1456260728;1912202814;OZN1912202814;Термонаклейка для одежды: львенок выглядывает игриво;'47.5;Amazing pics;Продается;3;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;24;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Улыбающийся лисенок в снегу;1456260729;1912202105;OZN1912202105;Термонаклейка для одежды: Улыбающийся лисенок в снегу;'47.5;Amazing pics;Продается;18;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;34;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Балерина в сиреневом;1456260730;1912202818;OZN1912202818;Термонаклейка для одежды: Балерина в сиреневом;'47.5;Amazing pics;Продается;26;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;64;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Весёлый енот выглядывает;1456260731;1912202795;OZN1912202795;Термонаклейка для одежды: Весёлый енот выглядывает;'47.5;Amazing pics;Продается;86;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;35;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка в розовом платье;1456260732;1912202099;OZN1912202099;Термонаклейка для одежды: Девочка в розовом платье;'47.5;Amazing pics;Продается;39;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;69;0;0;0;0;298.00;524.00;;0%
'Термонаклейка арбуз с сердцем и надписью;1456260733;1912202725;OZN1912202725;Термонаклейка для одежды: арбуз с сердцем и надписью;'47.5;Amazing pics;Продается;4;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;26;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка в зелёном с подсолнухом;1456260734;1912202762;OZN1912202762;Термонаклейка для одежды: Девочка в зелёном с подсолнухом;'47.5;Amazing pics;Продается;24;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;53;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Фея в ночном лесу;1456260735;1912202800;OZN1912202800;Термонаклейка для одежды: Фея в ночном лесу;'47.5;Amazing pics;Продается;5;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;37;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Львенок счастливый;1456260736;1912202625;OZN1912202625;Термонаклейка для одежды: Львенок счастливый;'47.5;Amazing pics;Продается;4;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;27;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка с маком в руках;1456260737;1912202150;OZN1912202150;Термонаклейка для одежды: Девочка с маком в руках;'47.5;Amazing pics;Продается;10;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;18;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка с бабочкой;1456260738;1912202508;OZN1912202508;Термонаклейка для одежды: Девочка с бабочкой;'22.5;Amazing pics;Продается;10;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;23;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Чёрный котенок в цветах;1456260739;1912202516;OZN1912202516;Термонаклейка для одежды: Чёрный котенок в цветах;'47.5;Amazing pics;Продается;26;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;28;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Лисёнок в свитере с узорами;1456260741;1912202637;OZN1912202637;Термонаклейка для одежды: Лисёнок в свитере с узорами;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;42;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Разноцветные сердечки;1456260742;1912201812;OZN1912201812;Термонаклейка для одежды: Разноцветные сердечки;'47.5;Amazing pics;Продается;7;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;23;0;0;0;0;298.00;524.00;;0%
'Термонаклейка львенок с милой улыбкой;1456260743;1912202756;OZN1912202756;Термонаклейка для одежды: львенок с милой улыбкой;'47.5;Amazing pics;Продается;8;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;42;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Тигренок счастливый радужный;1456260744;1912202590;OZN1912202590;Термонаклейка для одежды: Тигренок счастливый радужный;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;17;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Зевающий зайка в пижаме;1456260745;1912202058;OZN1912202058;Термонаклейка для одежды: Зевающий зайка в пижаме;'47.5;Amazing pics;Продается;3;'5.00;Показывается;;03.03.2025 13:54;Материал для рукоделия;Термонаклейка;'0.04;'0.1;28;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Букет тюльпанов бело-синий фон;2184271862;2449977854;OZN2449977854;Термонаклейка для одежды: Букет тюльпанов бело-синий фон;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;32;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Яркие лодки на бирюзовой море;2184271867;2449977213;OZN2449977213;Термонаклейка для одежды: Яркие лодки на бирюзовой море;'22.5;Amazing pics;Продается;6;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;20;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Фламинго на воде;2184271868;2449975997;OZN2449975997;Термонаклейка для одежды: Фламинго на воде;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;28;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Прикосновение рук Сотворения Адама;2184271872;2449977489;OZN2449977489;Термонаклейка для одежды: Прикосновение рук Сотворения Адама;'22.5;Amazing pics;Продается;8;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;20;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Роза с бутоном акварель;2184271875;2449979646;OZN2449979646;Термонаклейка для одежды: Роза с бутоном акварель;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;21;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка в поле розовых цветов;2184271876;2449977972;OZN2449977972;Термонаклейка для одежды: Девушка в поле розовых цветов;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;30;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Эйфелева башня и лицо девушки;2184271877;2449976830;OZN2449976830;Термонаклейка для одежды: Эйфелева башня и лицо девушки;'22.5;Amazing pics;Продается;7;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;19;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка ebis ono by horse;2184271878;2449978285;OZN2449978285;Термонаклейка для одежды: Девушка ebis ono by horse;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;25;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девочка и кот у моря;2184271879;2449978096;OZN2449978096;Термонаклейка для одежды: Девочка и кот у моря;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;25;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Сияй, чёрт возьми - корона;2184271884;2449977830;OZN2449977830;Термонаклейка для одежды: Сияй, чёрт возьми - корона;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;18;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка с цветами в арт-стиле;2184271886;2449979383;OZN2449979383;Термонаклейка для одежды: Девушка с цветами в арт-стиле;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;28;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Балерина в белом платье;2184271887;2449977151;OZN2449977151;Термонаклейка для одежды: Балерина в белом платье;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;19;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Тюльпаны акварель;2184271892;2449977812;OZN2449977812;Термонаклейка для одежды: Тюльпаны акварель;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;30;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Гортензии акварель;2184271906;2449977848;OZN2449977848;Термонаклейка для одежды: Гортензии акварель;'22.5;Amazing pics;Продается;14;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;14;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка в золотых трещинах;2184271908;2449977623;OZN2449977623;Термонаклейка для одежды: Девушка в золотых трещинах;'22.5;Amazing pics;Продается;3;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;23;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Итальянская набережная;2184271909;2449976760;OZN2449976760;Термонаклейка для одежды: Итальянская набережная;'22.5;Amazing pics;Продается;6;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;31;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Воздушный шар из пионов;2184271911;2449978556;OZN2449978556;Термонаклейка для одежды: Воздушный шар из пионов;'22.5;Amazing pics;Продается;11;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;38;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Три фламинго у воды лево;2184271922;2449976743;OZN2449976743;Термонаклейка для одежды: Три фламинго у воды лево;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;29;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Рука жест рок металл;2184271942;2449977121;OZN2449977121;Термонаклейка для одежды: Рука жест рок металл;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;30;1;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка в белом на берегу моря;2184271943;2449976996;OZN2449976996;Термонаклейка для одежды: Девушка в белом на берегу моря;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;26;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Чёрная кошка и луна;2184271946;2449976986;OZN2449976986;Термонаклейка для одежды: Чёрная кошка и луна;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;23;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Фламинго трое на воде право;2184271950;2449979595;OZN2449979595;Термонаклейка для одежды: Фламинго трое на воде право;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;30;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка в ромашковом поле;2184271959;2449977394;OZN2449977394;Термонаклейка для одежды: Девушка в ромашковом поле;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;29;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Не буди лихо пока тихо;2184271960;2449978533;OZN2449978533;Термонаклейка для одежды: Не буди лихо пока тихо;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;21;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Чайка и морской пейзаж;2184271964;2449977131;OZN2449977131;Термонаклейка для одежды: Чайка и морской пейзаж;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;16;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Уточка с полотенцем;2184271968;2449977197;OZN2449977197;Термонаклейка для одежды: Уточка с полотенцем;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;28;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Медуза в очках и с змеями;2184271973;2449977033;OZN2449977033;Термонаклейка для одежды: Медуза в очках и с змеями;'22.5;Amazing pics;Продается;21;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;23;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Чёрная кошка с кругом цифра 9;2184271977;2449977090;OZN2449977090;Термонаклейка для одежды: Чёрная кошка с кругом цифра 9;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;24;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Яхта у белых домиков море;2184271983;2449977863;OZN2449977863;Термонаклейка для одежды: Яхта у белых домиков море;'22.5;Amazing pics;Продается;12;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;38;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Девушка в синем у моря;2184271990;2449977838;OZN2449977838;Термонаклейка для одежды: Девушка в синем у моря;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;20;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Египетская кошка в золоте;2184271992;2449977504;OZN2449977504;Термонаклейка для одежды: Египетская кошка в золоте;'22.5;Amazing pics;Продается;49;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;46;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Графичное лицо в чёрно-белом;2184272010;2449978674;OZN2449978674;Термонаклейка для одежды: Графичное лицо в чёрно-белом;'22.5;Amazing pics;Продается;3;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;26;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Треснувшая античная скульптура;2184272018;2449978115;OZN2449978115;Термонаклейка для одежды: Треснувшая античная скульптура;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;19;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Медведь, волк и матрёшка;2184272022;2449978809;OZN2449978809;Термонаклейка для одежды: Медведь, волк и матрёшка;'22.5;Amazing pics;Продается;17;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;12;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Яркий цветок акварель;2184272055;2449978546;OZN2449978546;Термонаклейка для одежды: Яркий цветок акварель;'22.5;Amazing pics;Продается;36;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;36;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Вид на пляж из домика;2184272057;2449981733;OZN2449981733;Термонаклейка для одежды: Вид на пляж из домика;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;21;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Лимоны и морской пейзаж;2184272169;2449977019;OZN2449977019;Термонаклейка для одежды: Лимоны и морской пейзаж;'22.5;Amazing pics;Продается;10;'5.00;Показывается;;11.07.2025 6:24;Материал для рукоделия;Термонаклейка;'0.19;'0.1;27;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Кибер-девушка в стиле аниме;2215413287;2474254088;OZN2474254088;Термонаклейка для одежды: Кибер-девушка в стиле аниме;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;17;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Акира Глаз ядерный взрыв;2215413295;2474251681;OZN2474251681;Термонаклейка для одежды: Акира Глаз ядерный взрыв;'22.5;Amazing pics;Продается;2;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;10;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Чёрный кот Catzilla Годзилла ловит;2215413298;2474254458;OZN2474254458;Термонаклейка для одежды: Чёрный кот Catzilla Годзилла ловит;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;25;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Скелет череп байкер огонь;2215413302;2474254911;OZN2474254911;Термонаклейка для одежды: Скелет череп байкер огонь;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;13;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Берсерк Рыцарь с мечом под луной;2215413307;2474252885;OZN2474252885;Термонаклейка для одежды: Берсерк Рыцарь с мечом под луной;'22.5;Amazing pics;Продается;7;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;17;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Шрек мем поднимает голову;2215413322;2474252719;OZN2474252719;Термонаклейка для одежды: Шрек мем поднимает голову;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;13;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Акира мотоцикл и разрушения;2215413324;2474252861;OZN2474252861;Термонаклейка для одежды: Акира мотоцикл и разрушения;'22.5;Amazing pics;Продается;0;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;14;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Кибердевушка с капюшоном;2215413329;2474254639;OZN2474254639;Термонаклейка для одежды: Кибердевушка с капюшоном;'22.5;Amazing pics;Продается;5;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;11;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Кратос God of War с цитатой;2215413336;2474256003;OZN2474256003;Термонаклейка для одежды: Кратос God of War с цитатой;'22.5;Amazing pics;Продается;4;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;23;0;0;0;0;298.00;539.00;;0%
'Термонаклейка Яркий тигр с пастью на фоне луны;2215413339;2474254390;OZN2474254390;Термонаклейка для одежды: Яркий тигр с пастью на фоне луны;'22.5;Amazing pics;Продается;1;'5.00;Показывается;;15.07.2025 6:50;Материал для рукоделия;Термонаклейка;'0.64;'0.1;13;0;0;0;0;298.00;539.00;;0%
